khoi	tinh	M1	M2	M3
A	04	8.75	8.50	9.50
A	05	0	3.50	3.75
A	05	0	3.00	4.25
A	05	3.50	3.50	2.25
A	05	0	2.50	2.50
A	05	3.50	3.25	3.50
A	05	6	5.50	4.50
A	05	1.75	3.50	2.00
A	05	0.25	3.00	2.50
A	05	7.25	7.50	5.25
A	05	8	6.00	8.00
A	05	8	7.50	9.00
A	05	3.75	5.50	4.50
A	05	8	7.50	9.25
A	05	3.75	6.50	7.50
A	05	7.50	7.00	7.75
A	05	5.50	6.25	6.25
A	05	6.50	7.00	6.50
A	05	2.75	3.50	3.50
A	05	0	2.50	3.50
A	05	2.25	4.25	2.75
A	05	6.50	6.00	7.50
A	05	0	2.50	3.50
A	06	6.50	4.75	5.00
A	06	5.25	5.75	5.25
A	06	1.50	3.50	3.00
A	06	1	3.50	4.75
A	06	6.50	8.00	6.75
A	06	7.75	7.25	7.50
A	06	5.75	7.25	7.25
A	06	2.25	3.00	2.25
A	06	1.75	4.50	3.50
A	06	0.25	2.25	3.75
A	06	2.25	4.25	3.00
A	06	2.25	4.25	2.75
A	06	7	5.00	5.00
A	06	3.25	2.00	3.00
A	06	0	2.25	2.50
A	06	0	3.00	1.25
A	06	1.75	2.25	4.50
A	06	2.50	5.00	3.00
A	06	0	2.50	2.75
A	06	0	3.50	6.25
A	06	0.50	2.25	3.50
A	07	5.25	4.25	5.50
A	07	2.25	4.25	2.00
A	07	0.25	1.75	3.25
A	08	5.75	7.00	6.00
A	08	4	4.75	3.75
A	08	7.25	6.75	6.75
A	08	6.75	7.75	8.50
A	08	7	3.50	6.00
A	08	7	5.50	7.25
A	08	8	7.25	8.25
A	08	6.50	8.25	9.25
A	08	7	5.75	8.25
A	08	6.75	5.50	7.00
A	08	8	8.00	8.25
A	08	6.50	5.75	8.00
A	08	7.50	7.50	8.00
A	08	7.75	6.50	6.75
A	08	8	7.00	7.50
A	08	6	5.75	6.50
A	08	7	6.50	8.00
A	08	8	5.50	8.00
A	08	7.50	6.25	7.50
A	08	7.50	6.25	7.25
A	08	6.75	6.50	7.50
A	08	8	8.50	8.00
A	08	8	7.50	7.75
A	08	6	5.50	4.25
A	08	7	7.75	7.50
A	08	6.75	4.00	8.50
A	08	6.75	7.50	7.25
A	08	5.25	6.50	4.75
A	08	4.75	6.25	6.75
A	08	5.75	5.50	6.00
A	08	6.25	6.50	5.00
A	08	7	5.50	7.50
A	08	4.50	4.00	2.75
A	08	1.50	5.50	3.50
A	09	0.50	2.75	3.50
A	1A	3	5.00	4.00
A	09	7.5	6.50	7.25
A	09	7.50	7.75	8.25
A	09	6.50	4.75	8.00
A	09	2.75	3.00	3.75
A	09	0.25	3.75	3.75
A	09	1.50	2.50	3.75
A	09	0	3.75	3.25
A	09	6.75	7.00	8.00
A	09	1.75	4.00	4.50
A	09	2	3.25	2.50
A	09	6.75	5.75	4.75
A	10	6	6.50	7.00
A	10	5.75	4.50	6.50
A	10	0.50	2.50	3.50
A	10	6.25	6.25	5.50
A	10	1.75	4.50	3.25
A	10	0	5.75	2.50
