Data	Group
12250	Nhom1
14000	Nhom1
10150	Nhom1
12600	Nhom1
12950	Nhom1
11900	Nhom1
13300	Nhom1
16100	Nhom1
16800	Nhom1
14350	Nhom1
17500	Nhom1
17150	Nhom1
14350	Nhom1
9100	Nhom1
8400	Nhom1
15050	Nhom1
17150	Nhom1
17150	Nhom1
14700	Nhom1
16800	Nhom1
17150	Nhom1
19600	Nhom1
18200	Nhom1
21000	Nhom1
20650	Nhom1
20300	Nhom1
17850	Nhom1
21700	Nhom1
22750	Nhom1
24500	Nhom1
14350	Nhom2
16100	Nhom2
7700	Nhom2
4900	Nhom2
7000	Nhom2
18550	Nhom2
8400	Nhom2
4200	Nhom2
17150	Nhom2
8400	Nhom2
5600	Nhom2
16450	Nhom2
8400	Nhom2
18200	Nhom2
18550	Nhom2
9450	Nhom2
14700	Nhom2
10500	Nhom2
19600	Nhom2
4200	Nhom2
5600	Nhom2
11900	Nhom2
3500	Nhom2
4200	Nhom2
18200	Nhom2
11200	Nhom2
13650	Nhom2
10500	Nhom2
17850	Nhom2
4900	Nhom2
