Makh	Giamua	Giaban	Sonv	Diadiem
KH001	12000	15000	8	CH1
KH002	7000	10000	2	CH3
KH003	10000	8000	6	CH1
KH004	19000	20000	7	CH2
KH005	21000	31000	3	CH3
KH006	12000	17000	9	CH2
KH007	8000	19000	3	CH1
KH008	13000	22000	9	CH3
KH009	20000	29000	4	CH2
KH010	6000	6000	5	CH2
KH011	10000	11000	9	CH1
KH012	12000	14000	3	CH3
KH013	7000	9000	2	CH3
KH014	6000	5000	7	CH2
KH015	25000	36000	8	CH1
KH016	16000	22000	3	CH2
KH017	10000	21000	9	CH1
KH018	13000	19000	5	CH3
KH019	17000	27000	7	CH2
KH020	5000	10000	3	CH3
